elapsed_s,node,actual_mw,forecast_mw,verified_forecast_mw,rmse_mw,mape_percent,method,horizon_minutes
0.000,PV1,1.446163,1.155935,,0.000000,0.000000,persistence_trend_ar1_error,15.000
0.000,PV2,1.175061,1.103959,,0.000000,0.000000,persistence_trend_ar1_error,15.000
0.000,Wind3,16.119761,17.796352,,0.000000,0.000000,persistence_trend_ar1_error,15.000
0.000,Wind4,11.578723,11.825780,,0.000000,0.000000,persistence_trend_ar1_error,15.000
1.000,PV1,2.384127,2.503445,1.155935,1.228192,12.281920,persistence_trend_ar1_error,15.000
1.000,PV2,2.054353,2.624266,1.103959,0.950394,11.879930,persistence_trend_ar1_error,15.000
1.000,Wind3,18.125836,22.027597,17.796352,0.329484,1.817761,persistence_trend_ar1_error,15.000
1.000,Wind4,17.043915,23.181083,11.825780,5.218134,30.615820,persistence_trend_ar1_error,15.000
2.000,PV1,3.469952,3.482144,2.503445,1.105122,10.973495,persistence_trend_ar1_error,15.000
2.000,PV2,2.409114,2.512329,2.624266,0.689036,7.284668,persistence_trend_ar1_error,15.000
2.000,Wind3,20.173394,22.110510,22.027597,1.331659,5.504547,persistence_trend_ar1_error,15.000
2.000,Wind4,24.175531,30.706181,23.181083,3.756185,17.364634,persistence_trend_ar1_error,15.000
3.000,PV1,5.936993,7.077343,3.482144,1.680166,15.498494,persistence_trend_ar1_error,15.000
3.000,PV2,4.960533,5.604760,2.512329,1.521320,15.057297,persistence_trend_ar1_error,15.000
3.000,Wind3,36.646935,44.398648,22.110510,8.462747,16.891745,persistence_trend_ar1_error,15.000
3.000,Wind4,40.050215,55.000000,30.706181,6.205611,19.353354,persistence_trend_ar1_error,15.000
4.000,PV1,16.609398,18.689129,7.077343,4.983195,25.971251,persistence_trend_ar1_error,15.000
4.000,PV2,13.243882,15.306601,5.604760,4.040403,25.713069,persistence_trend_ar1_error,15.000
4.000,Wind3,23.538401,25.851468,44.398648,12.747590,34.824357,persistence_trend_ar1_error,15.000
4.000,Wind4,19.039932,24.683799,55.000000,18.766028,61.731658,persistence_trend_ar1_error,15.000
5.000,PV1,11.421914,10.459962,18.689129,5.516183,33.502041,persistence_trend_ar1_error,15.000
5.000,PV2,9.552514,10.478993,15.306601,4.436416,32.617728,persistence_trend_ar1_error,15.000
5.000,Wind3,20.741356,21.115301,25.851468,11.628563,32.786947,persistence_trend_ar1_error,15.000
5.000,Wind4,17.819323,21.669786,24.683799,17.063272,57.089858,persistence_trend_ar1_error,15.000
6.000,PV1,18.181352,16.809328,10.459962,5.940836,34.996490,persistence_trend_ar1_error,15.000
6.000,PV2,11.626903,12.579047,10.478993,4.076899,28.826920,persistence_trend_ar1_error,15.000
6.000,Wind3,21.086133,20.044005,21.115301,10.615384,27.345511,persistence_trend_ar1_error,15.000
6.000,Wind4,19.358880,21.100986,21.669786,15.605109,49.564412,persistence_trend_ar1_error,15.000
7.000,PV1,3.818667,0.000000,16.809328,7.372909,48.555079,persistence_trend_ar1_error,15.000
7.000,PV2,4.432532,3.747527,12.579047,4.871086,39.256136,persistence_trend_ar1_error,15.000
7.000,Wind3,17.574728,14.564680,20.044005,9.872151,25.446175,persistence_trend_ar1_error,15.000
7.000,Wind4,12.738671,10.755196,21.100986,14.789209,51.861655,persistence_trend_ar1_error,15.000
8.000,PV1,7.146876,2.765067,0.000000,7.345035,51.419289,persistence_trend_ar1_error,15.000
8.000,PV2,5.144289,4.404554,3.747527,4.583166,36.531561,persistence_trend_ar1_error,15.000
8.000,Wind3,18.794172,13.564505,14.564680,9.354840,25.078437,persistence_trend_ar1_error,15.000
8.000,Wind4,12.615933,7.335935,10.755196,13.849672,47.222586,persistence_trend_ar1_error,15.000
9.000,PV1,2.023760,0.000000,2.765067,6.929373,46.529709,persistence_trend_ar1_error,15.000
9.000,PV2,1.578118,0.000000,4.404554,4.422569,36.398105,persistence_trend_ar1_error,15.000
9.000,Wind3,12.226983,7.871939,13.564505,8.831089,23.507400,persistence_trend_ar1_error,15.000
9.000,Wind4,9.530753,7.385097,7.335935,13.078075,44.192620,persistence_trend_ar1_error,15.000
10.000,PV1,6.420614,2.601297,0.000000,6.880190,48.297352,persistence_trend_ar1_error,15.000
10.000,PV2,4.716757,3.006901,0.000000,4.452862,38.654241,persistence_trend_ar1_error,15.000
10.000,Wind3,20.957533,15.808151,7.871939,9.344121,27.400522,persistence_trend_ar1_error,15.000
10.000,Wind4,20.803567,16.145807,7.385097,13.112512,46.223439,persistence_trend_ar1_error,15.000
11.000,PV1,3.713605,0.000000,2.601297,6.568571,44.917873,persistence_trend_ar1_error,15.000
11.000,PV2,2.810229,0.065151,3.006901,4.246052,35.363710,persistence_trend_ar1_error,15.000
11.000,Wind3,7.075024,0.085835,15.808151,9.290237,31.525570,persistence_trend_ar1_error,15.000
11.000,Wind4,6.208959,0.000000,16.145807,12.856271,50.233580,persistence_trend_ar1_error,15.000
12.000,PV1,1.079513,0.000000,0.000000,6.296644,42.074311,persistence_trend_ar1_error,15.000
12.000,PV2,0.821648,0.000000,0.065151,4.071146,33.204752,persistence_trend_ar1_error,15.000
12.000,Wind3,3.808285,0.000000,0.085835,8.959400,31.483474,persistence_trend_ar1_error,15.000
12.000,Wind4,1.359271,0.000000,0.000000,12.315195,47.077199,persistence_trend_ar1_error,15.000
13.000,PV1,0.000000,0.000000,0.000000,6.049620,38.837826,persistence_trend_ar1_error,15.000
13.000,PV2,0.000000,0.000000,0.000000,3.911431,30.650540,persistence_trend_ar1_error,15.000
13.000,Wind3,1.182332,0.000000,0.000000,8.614156,29.819573,persistence_trend_ar1_error,15.000
13.000,Wind4,1.241324,0.000000,0.000000,11.837065,44.323935,persistence_trend_ar1_error,15.000
14.000,PV1,0.000000,0.000000,0.000000,5.829560,36.063695,persistence_trend_ar1_error,15.000
14.000,PV2,0.000000,0.000000,0.000000,3.769149,28.461216,persistence_trend_ar1_error,15.000
14.000,Wind3,0.379211,0.000000,0.000000,8.301428,27.915325,persistence_trend_ar1_error,15.000
14.000,Wind4,0.305922,0.000000,0.000000,11.406774,41.356590,persistence_trend_ar1_error,15.000
15.000,PV1,0.000000,0.000000,0.000000,5.631890,33.659449,persistence_trend_ar1_error,15.000
15.000,PV2,0.000000,0.000000,0.000000,3.641344,26.563802,persistence_trend_ar1_error,15.000
15.000,Wind3,0.000000,0.000000,0.000000,8.019941,26.054303,persistence_trend_ar1_error,15.000
15.000,Wind4,0.000000,0.000000,0.000000,11.019990,38.599484,persistence_trend_ar1_error,15.000
16.000,PV1,0.000000,0.000000,0.000000,5.453054,31.555733,persistence_trend_ar1_error,15.000
16.000,PV2,0.000000,0.000000,0.000000,3.525716,24.903564,persistence_trend_ar1_error,15.000
16.000,Wind3,0.000000,0.000000,0.000000,7.765274,24.425909,persistence_trend_ar1_error,15.000
16.000,Wind4,0.000000,0.000000,0.000000,10.670060,36.187017,persistence_trend_ar1_error,15.000
17.000,PV1,0.000000,0.000000,0.000000,5.290239,29.699514,persistence_trend_ar1_error,15.000
17.000,PV2,0.000000,0.000000,0.000000,3.420447,23.438649,persistence_trend_ar1_error,15.000
17.000,Wind3,0.000000,0.000000,0.000000,7.533423,22.989091,persistence_trend_ar1_error,15.000
17.000,Wind4,0.000000,0.000000,0.000000,10.351479,34.058369,persistence_trend_ar1_error,15.000
18.000,PV1,0.000000,0.000000,0.000000,5.141188,28.049541,persistence_trend_ar1_error,15.000
18.000,PV2,0.000000,0.000000,0.000000,3.324077,22.136501,persistence_trend_ar1_error,15.000
18.000,Wind3,0.000000,0.000000,0.000000,7.321171,21.711919,persistence_trend_ar1_error,15.000
18.000,Wind4,0.000000,0.000000,0.000000,10.059829,32.166237,persistence_trend_ar1_error,15.000
19.000,PV1,0.000000,0.000000,0.000000,5.004065,26.573249,persistence_trend_ar1_error,15.000
19.000,PV2,0.000000,0.000000,0.000000,3.235419,20.971422,persistence_trend_ar1_error,15.000
19.000,Wind3,0.000000,0.000000,0.000000,7.125905,20.569187,persistence_trend_ar1_error,15.000
19.000,Wind4,0.000000,0.000000,0.000000,9.791518,30.473277,persistence_trend_ar1_error,15.000
20.000,PV1,0.000000,0.000000,0.000000,4.877360,25.244587,persistence_trend_ar1_error,15.000
20.000,PV2,0.000000,0.000000,0.000000,3.153497,19.922851,persistence_trend_ar1_error,15.000
20.000,Wind3,0.000000,0.224493,0.000000,6.945473,19.540727,persistence_trend_ar1_error,15.000
20.000,Wind4,0.000000,0.418022,0.000000,9.543592,28.949613,persistence_trend_ar1_error,15.000
21.000,PV1,0.000000,0.000000,0.000000,4.759816,24.042463,persistence_trend_ar1_error,15.000
21.000,PV2,0.000000,0.000000,0.000000,3.077497,18.974144,persistence_trend_ar1_error,15.000
21.000,Wind3,0.000000,0.798552,0.224493,6.778264,18.699301,persistence_trend_ar1_error,15.000
21.000,Wind4,0.000000,0.337105,0.418022,9.314039,27.752022,persistence_trend_ar1_error,15.000
22.000,PV1,0.000000,0.000000,0.000000,4.650380,22.949624,persistence_trend_ar1_error,15.000
22.000,PV2,0.000000,0.000000,0.000000,3.006741,18.111683,persistence_trend_ar1_error,15.000
22.000,Wind3,0.058862,0.264599,0.798552,6.624299,18.129518,persistence_trend_ar1_error,15.000
22.000,Wind4,0.000000,0.637299,0.337105,9.100178,26.629866,persistence_trend_ar1_error,15.000
23.000,PV1,0.126883,0.000000,0.000000,4.548238,22.006981,persistence_trend_ar1_error,15.000
23.000,PV2,0.091613,0.000000,0.000000,2.940713,17.374008,persistence_trend_ar1_error,15.000
23.000,Wind3,0.439154,0.000000,0.264599,6.478794,17.404523,persistence_trend_ar1_error,15.000
23.000,Wind4,0.025831,0.216727,0.637299,8.901063,25.713733,persistence_trend_ar1_error,15.000
24.000,PV1,1.446163,1.143323,0.000000,4.462250,21.692591,persistence_trend_ar1_error,15.000
24.000,PV2,1.175061,1.174382,0.000000,2.888771,17.262102,persistence_trend_ar1_error,15.000
24.000,Wind3,16.119761,18.669736,0.000000,7.145122,20.846001,persistence_trend_ar1_error,15.000
24.000,Wind4,11.578723,12.698473,0.216727,9.017021,28.731003,persistence_trend_ar1_error,15.000
